timestamp,index,uuid,name,pstate,power.draw,temperature.gpu,clocks.sm,clocks.mem,utilization.gpu,utilization.memory
2026/03/18 23:31:25.130, 0, GPU-619f7fdc-5f98-8c37-fe89-0465d6130baf, NVIDIA B300 SXM6 AC, P0, 184.74 W, 32, 2032 MHz, 3996 MHz, 0 %, 0 %
2026/03/18 23:31:25.253, 0, GPU-619f7fdc-5f98-8c37-fe89-0465d6130baf, NVIDIA B300 SXM6 AC, P0, 184.74 W, 32, 2032 MHz, 3996 MHz, 0 %, 0 %
2026/03/18 23:31:25.353, 0, GPU-619f7fdc-5f98-8c37-fe89-0465d6130baf, NVIDIA B300 SXM6 AC, P0, 184.67 W, 32, 2032 MHz, 3996 MHz, 0 %, 0 %
2026/03/18 23:31:25.454, 0, GPU-619f7fdc-5f98-8c37-fe89-0465d6130baf, NVIDIA B300 SXM6 AC, P0, 184.63 W, 32, 2032 MHz, 3996 MHz, 0 %, 0 %
2026/03/18 23:31:25.554, 0, GPU-619f7fdc-5f98-8c37-fe89-0465d6130baf, NVIDIA B300 SXM6 AC, P0, 184.59 W, 32, 2032 MHz, 3996 MHz, 0 %, 0 %
2026/03/18 23:31:25.654, 0, GPU-619f7fdc-5f98-8c37-fe89-0465d6130baf, NVIDIA B300 SXM6 AC, P0, 184.63 W, 32, 2032 MHz, 3996 MHz, 0 %, 0 %
2026/03/18 23:31:25.754, 0, GPU-619f7fdc-5f98-8c37-fe89-0465d6130baf, NVIDIA B300 SXM6 AC, P0, 184.59 W, 32, 2017 MHz, 3996 MHz, 0 %, 0 %
2026/03/18 23:31:25.854, 0, GPU-619f7fdc-5f98-8c37-fe89-0465d6130baf, NVIDIA B300 SXM6 AC, P0, 184.32 W, 32, 2017 MHz, 3996 MHz, 0 %, 0 %
2026/03/18 23:31:25.954, 0, GPU-619f7fdc-5f98-8c37-fe89-0465d6130baf, NVIDIA B300 SXM6 AC, P0, 184.13 W, 32, 2017 MHz, 3996 MHz, 0 %, 0 %
2026/03/18 23:31:26.054, 0, GPU-619f7fdc-5f98-8c37-fe89-0465d6130baf, NVIDIA B300 SXM6 AC, P0, 183.94 W, 32, 2017 MHz, 3996 MHz, 0 %, 0 %
2026/03/18 23:31:26.154, 0, GPU-619f7fdc-5f98-8c37-fe89-0465d6130baf, NVIDIA B300 SXM6 AC, P0, 183.73 W, 32, 427 MHz, 3996 MHz, 0 %, 0 %
2026/03/18 23:31:26.254, 0, GPU-619f7fdc-5f98-8c37-fe89-0465d6130baf, NVIDIA B300 SXM6 AC, P0, 179.46 W, 32, 427 MHz, 3996 MHz, 0 %, 0 %
2026/03/18 23:31:26.355, 0, GPU-619f7fdc-5f98-8c37-fe89-0465d6130baf, NVIDIA B300 SXM6 AC, P0, 174.54 W, 31, 427 MHz, 3996 MHz, 0 %, 0 %
2026/03/18 23:31:26.455, 0, GPU-619f7fdc-5f98-8c37-fe89-0465d6130baf, NVIDIA B300 SXM6 AC, P0, 169.50 W, 31, 390 MHz, 3996 MHz, 0 %, 0 %
